Product_ID,Category,Sales,Date,Stock,Price,Color,Type,Discount,Region
P00001,Bed,92.86,2022-07-31,115,1750.67,Green,Plastic,0.38,East
P00002,Sofa,23.98,2022-02-26,348,1747.14,White,Plastic,0.28,North
P00003,Bed,16.53,2022-10-31,440,1117.29,Red,Metal,0.1,North
P00004,Chair,105.58,2022-10-04,304,1752.63,Blue,Leather,0.36,North
P00005,Table,27.75,2023-10-13,99,1306.14,Green,Metal,0.26,North
P00006,Bed,17.34,2022-12-29,356,899.91,Gray,Glass,0.04,East
P00007,Cabinet,35.9,2023-10-26,120,1727.24,Brown,Wood,0.28,West
P00008,Table,3.65,2023-04-21,148,584.61,Blue,Glass,0.13,West
P00009,Cabinet,58.64,2023-01-30,106,1954.33,Gray,Leather,0.24,North
P00010,Bed,2.39,2022-09-06,84,138.19,White,Wood,0.21,West
P00011,Sofa,123.15,2023-06-01,264,1363.93,Blue,Wood,0.41,South
P00012,Chair,94.17,2023-03-16,2,1159.72,Green,Glass,0.22,West
P00013,Bed,57.33,2022-08-28,362,738.01,Red,Glass,0.0,East
P00014,Cabinet,64.27,2022-02-26,420,1446.47,Blue,Plastic,0.2,East
P00015,Table,66.19,2023-02-05,345,781.6,White,Leather,0.17,North
P00016,Table,108.6,2022-08-21,69,1874.98,White,Metal,0.27,South
P00017,Table,45.26,2023-07-19,328,750.71,Red,Glass,0.22,North
P00018,Cabinet,15.9,2023-12-31,315,765.54,Brown,Plastic,0.42,West
P00019,Bed,52.7,2022-02-13,458,1193.54,White,Plastic,0.46,North
P00020,Sofa,23.34,2022-01-22,159,1257.5,Brown,Glass,0.44,South
P00021,Sofa,13.18,2023-08-30,317,949.7,White,Metal,0.34,South
P00022,Table,29.43,2022-01-26,299,525.74,White,Plastic,0.3,North
P00023,Chair,94.93,2023-03-05,434,1803.39,White,Glass,0.01,East
P00024,Table,73.68,2023-02-10,444,76.09,Black,Plastic,0.42,South
P00025,Cabinet,54.94,2022-12-30,463,91.92,Blue,Metal,0.29,East
P00026,Bed,40.02,2023-09-05,124,1708.09,Blue,Leather,0.0,East
P00027,Table,10.0,2022-04-17,98,80.61,Brown,Metal,0.21,East
P00028,Cabinet,96.13,2023-09-25,340,361.21,Red,Plastic,0.38,West
P00029,Chair,36.33,2023-11-30,449,581.58,Green,Metal,0.49,North
P00030,Table,62.72,2023-09-02,374,621.95,Blue,Metal,0.3,West
P00031,Sofa,26.38,2023-09-25,274,69.41,Green,Plastic,0.21,East
P00032,Chair,56.05,2022-04-15,288,122.84,Black,Plastic,0.17,North
P00033,Cabinet,9.22,2023-08-19,386,1831.63,Brown,Plastic,0.13,West
P00034,Chair,33.42,2023-08-06,207,1221.74,Black,Plastic,0.24,West
P00035,Bed,57.35,2022-11-21,11,95.19,Blue,Wood,0.42,West
P00036,Sofa,84.58,2022-08-16,127,165.26,Blue,Plastic,0.47,West
P00037,Sofa,110.19,2023-06-21,410,1607.79,Gray,Plastic,0.43,East
P00038,Sofa,73.24,2022-09-10,149,1296.64,Brown,Glass,0.45,West
P00039,Bed,106.51,2023-05-08,188,1728.03,Gray,Metal,0.22,South
P00040,Cabinet,48.66,2023-05-07,203,1544.63,Green,Glass,0.42,West
P00041,Chair,97.75,2022-07-17,41,380.24,Blue,Leather,0.21,East
P00042,Chair,48.07,2023-09-03,194,1701.78,Black,Leather,0.14,North
P00043,Sofa,43.58,2022-07-31,190,473.54,Black,Glass,0.12,North
P00044,Chair,44.08,2023-02-07,150,192.8,White,Plastic,0.09,East
P00045,Cabinet,83.76,2022-04-19,257,1842.83,Red,Leather,0.15,East
P00046,Cabinet,44.41,2022-01-01,335,724.02,Gray,Plastic,0.12,North
P00047,Bed,61.29,2023-10-07,157,1508.0,Gray,Glass,0.03,West
P00048,Chair,28.1,2022-01-11,439,1435.73,Brown,Plastic,0.36,South
P00049,Table,78.33,2022-05-21,449,1862.85,Gray,Leather,0.08,East
P00050,Sofa,81.77,2022-10-17,500,874.44,Red,Wood,0.35,East
P00051,Chair,72.67,2022-07-01,43,1041.82,Green,Metal,0.15,North
P00052,Cabinet,73.7,2023-01-12,318,919.72,Gray,Plastic,0.39,South
P00053,Cabinet,24.8,2022-12-26,362,1509.39,Black,Metal,0.25,North
P00054,Chair,62.48,2022-07-10,123,376.7,Gray,Glass,0.05,East
P00055,Cabinet,57.09,2023-06-24,220,1625.47,Gray,Glass,0.15,East
P00056,Table,29.48,2023-07-19,497,1550.54,Black,Glass,0.32,South
P00057,Table,37.79,2023-10-11,368,1446.61,Red,Metal,0.32,West
P00058,Sofa,10.07,2023-09-20,253,1390.05,Green,Leather,0.01,South
P00059,Table,119.3,2023-09-01,135,1108.63,Red,Wood,0.35,South
P00060,Chair,66.39,2022-11-29,327,1751.59,Blue,Leather,0.5,East
P00061,Cabinet,49.48,2023-07-22,445,768.95,White,Glass,0.15,South
P00062,Cabinet,7.84,2023-07-23,396,1422.45,Gray,Wood,0.49,North
P00063,Chair,2.22,2023-11-10,237,109.32,Red,Metal,0.34,North
P00064,Cabinet,24.98,2023-02-09,10,538.44,Gray,Leather,0.36,West
P00065,Chair,14.36,2023-11-29,313,1779.4,Brown,Leather,0.22,South
P00066,Bed,27.7,2022-06-19,375,1348.42,Black,Leather,0.08,West
P00067,Sofa,7.2,2022-11-28,178,909.34,Gray,Glass,0.29,South
P00068,Cabinet,18.22,2022-12-24,421,584.04,Red,Glass,0.47,West
P00069,Sofa,16.17,2022-06-03,59,696.16,Black,Wood,0.28,South
P00070,Cabinet,38.91,2023-03-04,382,1049.33,Green,Wood,0.14,East
P00071,Table,4.3,2023-12-06,393,716.75,White,Metal,0.22,North
P00072,Bed,114.32,2023-05-21,470,1809.69,Green,Plastic,0.05,South
P00073,Sofa,27.34,2023-08-20,352,729.67,Brown,Metal,0.26,South
P00074,Table,62.92,2023-02-25,466,97.96,White,Glass,0.2,East
P00075,Cabinet,79.81,2022-11-12,67,712.91,Green,Glass,0.47,South
P00076,Bed,136.84,2023-07-20,485,261.98,Gray,Plastic,0.04,North
P00077,Chair,48.04,2022-03-17,422,1478.1,Gray,Wood,0.14,West
P00078,Bed,5.89,2023-12-13,58,1609.35,Gray,Leather,0.19,West
P00079,Chair,58.8,2022-01-12,41,137.31,White,Glass,0.37,South
P00080,Table,8.69,2022-12-18,464,850.96,Gray,Wood,0.33,West
P00081,Chair,95.76,2022-09-14,406,1514.83,Red,Plastic,0.24,East
P00082,Bed,27.92,2023-08-03,57,1244.37,Green,Wood,0.23,West
P00083,Cabinet,37.17,2022-08-14,33,924.39,White,Glass,0.15,East
P00084,Sofa,91.6,2022-05-03,234,1699.78,Red,Wood,0.17,South
P00085,Sofa,43.19,2023-01-26,376,1643.67,White,Plastic,0.29,South
P00086,Cabinet,16.54,2022-09-08,324,1537.89,White,Leather,0.05,East
P00087,Table,122.84,2023-05-28,125,129.18,Red,Plastic,0.15,East
P00088,Bed,123.93,2023-08-07,474,1471.42,Red,Metal,0.01,South
P00089,Table,98.89,2023-09-01,53,749.83,Blue,Glass,0.16,West
P00090,Sofa,39.59,2022-04-21,12,1696.24,Brown,Leather,0.17,East
P00091,Cabinet,62.81,2023-10-30,108,612.42,Green,Metal,0.49,East
P00092,Table,50.67,2022-07-11,254,118.27,Black,Metal,0.41,North
P00093,Table,70.17,2023-03-14,36,1192.75,Red,Metal,0.02,West
P00094,Bed,47.42,2022-07-27,318,997.05,Red,Plastic,0.09,West
P00095,Cabinet,108.23,2023-06-30,252,1498.5,Gray,Leather,0.18,West
P00096,Bed,45.63,2022-02-06,320,596.4,Brown,Metal,0.25,North
P00097,Cabinet,109.13,2023-10-27,268,583.79,Green,Plastic,0.12,West
P00098,Bed,72.42,2023-04-16,58,1069.18,White,Metal,0.07,North
P00099,Chair,6.19,2022-10-20,70,581.48,White,Metal,0.24,East
P00100,Chair,74.49,2022-08-17,68,1647.98,Brown,Metal,0.31,West
P00101,Chair,45.47,2023-08-27,99,776.05,Green,Plastic,0.41,South
P00102,Chair,18.77,2022-10-13,344,476.9,White,Leather,0.3,North
P00103,Chair,109.87,2022-07-10,377,836.79,Blue,Leather,0.25,North
P00104,Bed,115.21,2023-08-16,177,1190.04,Blue,Metal,0.13,West
P00105,Sofa,79.18,2022-12-05,379,1077.84,White,Leather,0.28,South
P00106,Table,28.39,2023-10-01,258,1501.63,Green,Metal,0.11,West
P00107,Bed,78.8,2023-04-05,383,654.06,Black,Glass,0.14,West
P00108,Chair,148.23,2022-06-25,310,1292.45,Brown,Wood,0.3,West
P00109,Chair,62.17,2023-12-04,161,645.4,Green,Wood,0.06,West
P00110,Cabinet,23.35,2022-11-16,351,92.99,Blue,Metal,0.04,East
P00111,Chair,79.47,2023-02-22,484,719.69,Gray,Leather,0.17,West
P00112,Table,33.0,2022-04-07,336,1519.7,Black,Leather,0.37,South
P00113,Bed,79.24,2022-12-26,16,649.8,Black,Plastic,0.26,East
P00114,Bed,117.21,2023-06-28,183,443.18,Black,Plastic,0.09,North
P00115,Chair,34.16,2022-12-18,486,104.59,Blue,Leather,0.23,South
P00116,Cabinet,109.59,2022-05-14,403,1323.53,Brown,Wood,0.37,North
P00117,Chair,46.14,2023-12-04,202,1630.73,Blue,Wood,0.47,South
P00118,Sofa,25.45,2022-09-28,298,98.48,Blue,Wood,0.07,West
P00119,Chair,12.82,2022-03-08,124,1515.14,White,Leather,0.19,North
P00120,Table,85.5,2023-06-07,287,1907.05,Brown,Metal,0.04,West
P00121,Table,96.19,2022-04-08,41,1086.59,Green,Metal,0.03,North
P00122,Cabinet,51.54,2022-11-29,102,1016.98,Black,Plastic,0.43,East
P00123,Chair,32.78,2022-02-24,118,1555.05,Gray,Glass,0.25,West
P00124,Sofa,4.36,2022-08-19,38,1266.84,Gray,Metal,0.04,South
P00125,Chair,73.45,2023-01-15,36,1298.28,Red,Leather,0.19,East
P00126,Bed,57.58,2022-01-01,199,1319.38,Gray,Wood,0.19,North
P00127,Bed,36.02,2023-02-28,453,1083.33,Blue,Leather,0.38,West
P00128,Chair,32.06,2022-11-02,351,582.93,Black,Leather,0.14,West
P00129,Sofa,78.98,2023-11-16,384,996.04,Gray,Leather,0.04,East
P00130,Sofa,96.91,2022-07-30,268,1259.89,Red,Wood,0.23,South
P00131,Chair,15.82,2023-09-15,373,537.44,Red,Metal,0.21,East
P00132,Sofa,50.95,2022-11-05,48,1204.13,Green,Leather,0.45,West
P00133,Chair,63.39,2023-10-29,330,531.87,Gray,Wood,0.04,North
P00134,Sofa,48.07,2022-04-22,295,1737.46,Brown,Metal,0.47,West
P00135,Chair,53.07,2022-06-16,420,639.9,Brown,Metal,0.42,West
P00136,Table,88.61,2023-05-17,31,389.35,Red,Leather,0.33,South
P00137,Sofa,10.39,2022-05-19,28,879.67,Blue,Plastic,0.48,North
P00138,Table,66.06,2023-06-19,450,1757.3,Brown,Plastic,0.26,West
P00139,Bed,133.95,2023-07-02,192,287.38,Gray,Wood,0.46,North
P00140,Sofa,59.82,2022-10-04,499,1561.73,Red,Glass,0.47,South
P00141,Table,76.84,2023-06-26,185,1516.5,Red,Leather,0.47,South
P00142,Bed,24.08,2023-03-05,500,417.3,Black,Metal,0.11,West
P00143,Sofa,135.27,2023-07-30,491,948.12,Brown,Plastic,0.3,East
P00144,Bed,96.64,2022-05-15,230,1433.82,Brown,Metal,0.04,East
P00145,Sofa,55.69,2022-12-26,313,991.85,Red,Wood,0.4,North
P00146,Bed,16.06,2022-11-07,58,617.43,Green,Metal,0.31,South
P00147,Cabinet,12.31,2023-10-16,346,1283.25,Red,Metal,0.41,West
P00148,Sofa,125.56,2023-06-16,241,1803.0,Green,Metal,0.28,East
P00149,Sofa,15.33,2022-01-01,415,974.89,Blue,Glass,0.35,East
P00150,Bed,25.3,2022-03-22,222,1314.52,Blue,Leather,0.43,East
P00151,Cabinet,121.38,2022-05-30,19,1322.89,Black,Plastic,0.17,North
P00152,Cabinet,76.26,2022-06-12,457,387.65,White,Glass,0.42,East
P00153,Table,21.48,2022-11-21,173,1105.19,White,Wood,0.34,West
P00154,Sofa,31.64,2022-10-11,239,623.95,White,Glass,0.11,East
P00155,Cabinet,44.64,2023-01-28,103,848.3,Brown,Leather,0.28,East
P00156,Table,24.77,2023-07-31,366,1815.98,Brown,Leather,0.27,East
P00157,Bed,106.03,2023-10-16,132,1735.12,Brown,Plastic,0.33,West
P00158,Table,37.98,2022-01-29,250,744.38,Black,Wood,0.37,East
P00159,Sofa,101.37,2022-05-26,124,811.53,Green,Plastic,0.25,East
P00160,Cabinet,63.05,2022-01-04,235,1408.44,Blue,Metal,0.09,South
P00161,Table,119.41,2022-06-02,393,1632.35,Gray,Wood,0.1,South
P00162,Cabinet,110.48,2023-09-27,474,1113.97,White,Glass,0.09,North
P00163,Chair,86.28,2022-11-23,14,1220.44,Black,Leather,0.02,East
P00164,Chair,77.34,2023-12-08,487,1966.85,Black,Plastic,0.37,East
P00165,Cabinet,117.18,2023-06-22,335,1767.48,Red,Metal,0.37,East
P00166,Chair,72.64,2023-12-15,330,1809.43,Black,Wood,0.2,West
